,Nitrogen,Phosphorus,Potassium,pH,Rainfall,Temperature,Soil_color,Crop,Fertilizer
0,0.42307692307692313,0.5,0.6551724137931035,0.33333333333333326,0.5,0.3333333333333333,Black,Sugarcane,Urea
1,0.46153846153846156,0.5,0.6551724137931035,0.33333333333333326,0.5,0.3333333333333333,Black,Sugarcane,Urea
2,0.5,0.5,0.6551724137931035,0.33333333333333326,0.5,0.3333333333333333,Black,Sugarcane,Urea
3,0.5384615384615384,0.5,0.6551724137931035,0.33333333333333326,0.5,0.3333333333333333,Black,Sugarcane,Urea
4,0.576923076923077,0.5,0.6551724137931035,0.33333333333333326,0.5,0.3333333333333333,Black,Sugarcane,Urea
5,0.6153846153846154,0.5,0.6551724137931035,0.33333333333333326,0.5,0.3333333333333333,Black,Sugarcane,Urea
6,0.42307692307692313,0.5625,0.6896551724137931,0.4999999999999998,0.5714285714285714,0.5,Black,Sugarcane,Urea
7,0.46153846153846156,0.5625,0.6896551724137931,0.4999999999999998,0.5714285714285714,0.5,Black,Sugarcane,Urea
8,0.5,0.5625,0.6896551724137931,0.4999999999999998,0.5714285714285714,0.5,Black,Sugarcane,Urea
9,0.5384615384615384,0.5625,0.6896551724137931,0.4999999999999998,0.5714285714285714,0.5,Black,Sugarcane,Urea
10,0.576923076923077,0.5625,0.6896551724137931,0.4999999999999998,0.5714285714285714,0.5,Black,Sugarcane,Urea
11,0.6153846153846154,0.5625,0.6896551724137931,0.4999999999999998,0.5714285714285714,0.5,Black,Sugarcane,Urea
12,0.42307692307692313,0.625,0.7241379310344828,0.6666666666666667,0.6428571428571428,0.6666666666666667,Black,Sugarcane,Urea
13,0.46153846153846156,0.625,0.7241379310344828,0.6666666666666667,0.6428571428571428,0.6666666666666667,Black,Sugarcane,Urea
14,0.5,0.625,0.7241379310344828,0.6666666666666667,0.6428571428571428,0.6666666666666667,Black,Sugarcane,Urea
15,0.5384615384615384,0.625,0.7241379310344828,0.6666666666666667,0.6428571428571428,0.6666666666666667,Black,Sugarcane,Urea
16,0.576923076923077,0.625,0.7241379310344828,0.6666666666666667,0.6428571428571428,0.6666666666666667,Black,Sugarcane,Urea
17,0.6153846153846154,0.625,0.7241379310344828,0.6666666666666667,0.6428571428571428,0.6666666666666667,Black,Sugarcane,Urea
18,0.42307692307692313,0.5,0.7586206896551725,0.33333333333333326,0.7142857142857143,0.8333333333333335,Black,Sugarcane,Urea
19,0.46153846153846156,0.5,0.7586206896551725,0.33333333333333326,0.7142857142857143,0.8333333333333335,Black,Sugarcane,Urea
20,0.5,0.5,0.7586206896551725,0.33333333333333326,0.7142857142857143,0.8333333333333335,Black,Sugarcane,Urea
21,0.5384615384615384,0.5,0.7586206896551725,0.33333333333333326,0.7142857142857143,0.8333333333333335,Black,Sugarcane,Urea
22,0.576923076923077,0.5,0.7586206896551725,0.33333333333333326,0.7142857142857143,0.8333333333333335,Black,Sugarcane,Urea
23,0.6153846153846154,0.5,0.7586206896551725,0.33333333333333326,0.7142857142857143,0.8333333333333335,Black,Sugarcane,Urea
24,0.42307692307692313,0.5625,0.6551724137931035,0.4999999999999998,0.7857142857142857,0.3333333333333333,Black,Sugarcane,DAP
25,0.46153846153846156,0.5625,0.6551724137931035,0.4999999999999998,0.7857142857142857,0.3333333333333333,Black,Sugarcane,DAP
26,0.5,0.5625,0.6551724137931035,0.4999999999999998,0.7857142857142857,0.3333333333333333,Black,Sugarcane,DAP
27,0.5384615384615384,0.5625,0.6551724137931035,0.4999999999999998,0.7857142857142857,0.3333333333333333,Black,Sugarcane,DAP
